Date,Start Time,End Time,Total Bets,Value
2024-07-22,02:39:56.148810,02:40:18.887985,1196,4.27
2024-07-22,02:40:23.303615,02:40:35.398764,1443,1.51
2024-07-22,02:40:41.636213,02:40:49.130063,1353,1.32
2024-07-22,02:40:55.810653,02:41:40.428850,1251,27.20
2024-07-22,02:41:47.039734,02:41:56.987711,1434,1.47
2024-07-22,02:42:03.420350,02:42:10.655654,,1.20
2024-07-22,02:42:16.789792,02:42:26.149302,,1.46
2024-07-22,02:42:32.613060,02:43:00.538871,1243,6.44
2024-07-22,02:43:07.664847,02:43:26.379165,1425,3.24
2024-07-22,02:43:33.196555,02:43:52.887613,1402,3.44
2024-07-22,02:43:57.310176,02:44:20.892751,1351,3.81
2024-07-22,02:44:25.631013,02:44:44.348941,1397,3.05
2024-07-22,02:44:50.979782,02:44:56.305942,1419,1.01
2024-07-22,02:45:03.258894,02:45:41.479172,1173,15.25
2024-07-22,02:45:48.407213,02:46:07.150314,1423,3.22
2024-07-22,02:46:14.114920,02:46:26.136491,1431,1.80
2024-07-22,02:46:30.550820,02:47:02.546832,1351,8.81
2024-07-22,02:47:09.242575,02:47:22.103338,1435,1.73
2024-07-22,02:47:27.065910,02:47:39.283240,1475,1.80
2024-07-22,02:47:45.992357,02:47:53.424099,1413,1.12
2024-07-22,02:47:57.847714,02:48:12.178225,1235,1.79
2024-07-22,02:48:16.411542,02:48:24.034133,1327,1.09
2024-07-22,02:48:30.975626,02:48:43.173396,,1.72
2024-07-22,02:48:48.268778,02:49:13.198588,1175,4.68
2024-07-22,02:49:17.874991,02:49:31.923351,1434,1.88
2024-07-22,02:49:36.137348,02:49:50.146783,1292,1.96
2024-07-22,02:49:56.814873,02:50:26.233800,1245,7.04
2024-07-22,02:50:33.079206,02:50:38.295752,1343,1
2024-07-22,02:50:45.132239,02:50:52.675963,1132,1.17
2024-07-22,02:50:56.924664,02:51:04.285593,1142,1.10
2024-07-22,02:51:11.689372,02:51:27.991424,1033,2.48
2024-07-22,02:51:34.491384,02:52:23.172146,1175,38.30
2024-07-22,02:52:30.142716,02:52:35.687131,1227,1.07
2024-07-22,02:52:42.740180,02:53:20.347060,,14.58
2024-07-22,02:53:24.704949,02:53:34.636954,1193,1.29
2024-07-22,02:53:39.227388,02:53:46.855356,,1.06
