Date,Start Time,End Time,Total Bets,Value
2024-07-31,03:13:47.346779,03:13:57.256781,3350,1.55
2024-07-31,03:14:03.963536,03:14:17.945497,2953,2.04
2024-07-31,03:14:24.126289,03:14:55.717333,3177,8.22
2024-07-31,03:15:02.571176,03:15:10.234511,3375,1.20
2024-07-31,03:15:16.975628,03:15:27.406507,,1.37
2024-07-31,03:15:31.841645,03:16:00.194651,2352,6.52
2024-07-31,03:16:06.695184,03:16:34.178598,3401,5.82
2024-07-31,03:16:41.474629,03:16:53.330249,3159,1.97
2024-07-31,03:17:00.077919,03:17:18.138201,2922,2.72
2024-07-31,03:17:25.021861,03:17:55.764793,3333,8.77
2024-07-31,03:18:02.466394,03:18:08.128334,3273,1.01
2024-07-31,03:18:15.142087,03:18:22.748385,3025,1.11
2024-07-31,03:18:27.175312,03:19:36.394842,2907,186.48
2024-07-31,03:19:43.277363,03:20:43.529192,3416,92.15
2024-07-31,03:20:47.924705,03:21:07.080948,3525,2.78
2024-07-31,03:21:14.233205,03:21:21.746008,3257,1.24
2024-07-31,03:21:28.883204,03:21:45.032745,2320,2.46
2024-07-31,03:21:51.785614,03:22:08.045643,3399,2.70
2024-07-31,03:22:14.374028,03:22:26.918312,3506,1.56
2024-07-31,03:22:34.135905,03:23:12.664351,3299,15.52
2024-07-31,03:23:16.917125,03:23:35.797216,3542,2.85
2024-07-31,03:23:42.960592,03:23:59.434894,3551,2.33
2024-07-31,03:24:03.683854,03:24:40.285931,3545,12.08
2024-07-31,03:24:47.246484,03:24:55.062070,3540,1.14
2024-07-31,03:25:02.578743,03:25:09.990821,3317,1.29
2024-07-31,03:25:17.159446,03:25:33.602440,3171,2.68
2024-07-31,03:25:40.311216,03:26:03.884818,3555,3.98
2024-07-31,03:26:08.608669,03:26:29.678083,3375,3.46
2024-07-31,03:26:36.013676,03:27:08.228743,3554,8.77
2024-07-31,03:27:15.078661,03:27:47.655042,3374,9.74
2024-07-31,03:27:55.030775,03:28:02.522620,,1.32
2024-07-31,03:28:08.842691,03:28:18.871939,3306,1.30
2024-07-31,03:28:25.673276,03:28:46.766422,3275,3.80
2024-07-31,03:28:53.795423,03:29:06.818456,4164,1.88
2024-07-31,03:29:14.053786,03:29:28.867153,3524,2.09
2024-07-31,03:29:36.031195,03:29:45.922234,3725,1.67
2024-07-31,03:29:52.618522,03:30:02.511092,3923,1.30
2024-07-31,03:30:09.597019,03:30:26.555506,3456,2.64
2024-07-31,03:30:33.952449,03:30:56.051968,3332,4.42
2024-07-31,03:31:02.990235,03:31:10.879634,3525,
2024-07-31,03:31:17.636225,03:31:46.417386,3355,6.20
2024-07-31,03:31:53.262239,03:32:14.049660,3917,3.97
2024-07-31,03:32:20.849971,03:32:47.259967,3332,5.67
2024-07-31,03:32:53.970779,03:32:59.512920,3952,1.6
2024-07-31,03:33:06.329113,03:33:15.809617,3533,1.38
2024-07-31,03:33:22.171541,03:33:38.246784,3335,2.10
2024-07-31,03:33:45.115607,03:33:52.850811,3363,1.12
2024-07-31,03:33:57.491578,03:34:14.150852,3350,2.39
2024-07-31,03:34:21.158307,03:34:28.733138,3252,1.19
2024-07-31,03:34:35.579107,03:34:53.758551,3390,2.76
2024-07-31,03:35:00.844562,03:35:33.407114,3247,10.14
2024-07-31,03:35:40.689613,03:35:46.054424,3599,1.05
2024-07-31,03:35:53.253319,03:36:00.705156,3279,1.19
2024-07-31,03:36:07.619023,03:36:26.239885,3115,2.98
2024-07-31,03:36:33.323989,03:36:58.359686,3552,5.50
2024-07-31,03:37:05.404266,03:37:34.411312,3359,6.92
2024-07-31,03:37:38.759554,03:37:57.427368,3555,2.64
2024-07-31,03:38:04.621551,03:38:10.182412,3336,1.02
2024-07-31,03:38:17.315578,03:38:29.408324,2950,1.84
2024-07-31,03:38:36.037693,03:38:47.856730,3214,1.70
2024-07-31,03:38:54.722011,03:39:11.330277,3129,2.46
2024-07-31,03:39:18.205006,03:39:25.786181,3550,1.11
